id,element_model_plu
11,1001741
18,1000146
19,1000146
21,1000146
22,1000146
24,1000146
25,1000146
26,1000146
27,1000146
28,1000146
29,1000146
30,1000146
31,1000146
32,1000146
33,1000146
34,1000146
35,1000146
36,1000146
58,1000146
64,1000287
72,1000146
76,1000146
79,1000146
109,1000146
124,1000146
125,1000146
126,1000146
127,1000146
169,1000146
170,1000146
171,1000146
172,1000146
187,1000146
356,1000146
357,1000146
358,1000146
359,1000146
360,1000146
361,1000146
362,1000146
363,1000146
364,1000146
372,1000146
373,1000146
374,1000146
375,1000146
376,1000146
377,1000146
378,1000146
379,1000146
380,1000146
381,1000146
382,1000146
383,1000146
384,1000146
385,1000146
386,1000146
387,1000146
388,1000146
389,1000146
390,1000146
391,1000146
392,1000146
393,1000146
394,1000146
395,1000146
396,1000146
397,1000146
398,1000146
399,1000146
400,1000146
401,1000146
402,1000146
403,1000146
404,1000146
406,1000146
409,1000146
410,1000146
411,1000146
421,1000146
422,1000146
431,1000918
432,1000918
433,1000918
436,1000146
438,1000146
504,1000146
573,1000146
587,1000146
588,1000146
589,1000146
590,1000146
591,1000146
592,1000146
593,1000146
594,1000146
595,1000146
596,1000146
597,1000146
598,1000146
599,1000146
600,1000146
601,1000146
602,1000146
603,1000146
604,1000146
605,1000146
606,1000146
607,1000146
608,1000146
609,1000146
610,1000146
611,1000146
612,1000146
614,1000146
615,1000146
616,1000146
617,1000146
618,1000146
619,1000146
620,1000146
621,1000146
622,1000146
625,1000146
626,1000146
627,1000146
628,1000146
630,1000146
631,1000146
632,1000146
633,1000146
634,1000146
635,1000146
636,1000146
637,1000146
638,1000146
639,1000146
640,1000146
641,1000146
642,1000146
643,1000146
644,1000146
645,1000146
646,1000146
647,1000146
648,1000146
649,1000146
650,1000146
651,1000146
652,1000146
653,1000146
654,1000146
655,1000146
656,1000146
657,1000146
658,1000146
659,1000146
660,1000146
661,1000146
662,1000146
663,1000146
664,1000146
665,1000146
666,1000146
667,1000146
668,1000146
669,1000146
670,1000146
671,1000146
672,1000146
673,1000146
674,1000146
675,1000146
676,1000146
677,1000146
678,1000146
679,1000146
680,1000146
681,1000146
682,1000146
683,1000146
684,1000146
685,1000146
686,1000146
687,1000146
688,1000146
716,1000146
717,1000146
718,1000146
728,1000518
739,1001725
1024,1000146
1025,1000146
1046,1000502
1053,1000146
1054,1000146
1055,1000146
1056,1000146
1062,1000146
1063,1000146
1064,1000146
1065,1000146
1066,1000146
1067,1000146
1068,1000146
1069,1000146
1070,1000146
1071,1000146
1072,1000146
1073,1000146
1074,1000146
1075,1000146
