id,desktop_inventory_element,element,location,model,desktop_inventory,serial,quantity,millicom_code,is_asset,element_type_asset,element_category_asset,comments,desktop_inventory_process_result_detail,check_field_service_login,check_field_service_date,check_inventory_responsible_login,check_inventory_responsible_date,internal_location_id,missing_element_created_for_partial_diff
243,3347,206221,BOG0072,1003800,64,R_DAGA_BOG0072_0001,1,A06G112232,Y,20,7,"(mario.roman): (AO79049480): (AO79049480): Se cambio Modelo, existe en realidad un MYSI",2583,mario.roman,"2010-08-20 11:35:13",AF3086222,"2010-08-05 17:49:26",NULL,0
244,3353,206229,BOG0072,1000029,64,RFANT_BOG0072_0001,1,A05G132091,Y,186,53,"(mario.roman): (AO79049480): (AO79049480): (JD19471339): (AF3086222): Se cambi? la referencia de la antena porque tenia una diferente",2584,mario.roman,"2010-08-20 11:35:13",AF3086222,"2010-08-05 17:49:26",NULL,0
455,717,156232,BOG0059,1002041,113,A05T110183,1,A05T110183,Y,11,62,,4761,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
456,716,156231,BOG0059,1002041,113,A05T110182,1,A05T110182,Y,11,62,,4760,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
457,718,156233,BOG0059,1002041,113,A05T110184,1,A05T110184,Y,11,62,,4759,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
458,719,156234,BOG0059,1002041,113,A05T110185,1,A05T110185,Y,11,62,,4758,mario.roman,"2010-08-26 11:01:46",AO79049480,"2010-08-11 09:04:15",NULL,0
459,743,174813,BOG0059,1002011,113,A05G131504,1,A05G131504,Y,11,53,,4757,mario.roman,"2010-08-26 11:01:35",AO79049480,"2010-08-11 09:04:15",NULL,0
460,744,174814,BOG0059,1002011,113,A05G131505,1,A05G131505,Y,11,53,,4756,mario.roman,"2010-08-26 11:01:24",AO79049480,"2010-08-11 09:04:15",NULL,0
461,746,174816,BOG0059,1002011,113,A05G131507,1,A05G131507,Y,11,53,,4755,mario.roman,"2010-08-26 11:01:17",AO79049480,"2010-08-11 09:04:15",NULL,0
462,745,174815,BOG0059,1002011,113,A05G131506,1,A05G131506,Y,11,53,,4754,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
463,748,174818,BOG0059,1002011,113,A05G131509,1,A05G131509,Y,11,53,,4753,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
464,747,174817,BOG0059,1002011,113,A05G131508,1,A05G131508,Y,11,53,,4752,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
465,749,174819,BOG0059,1002011,113,A05G131510,1,A05G131510,Y,11,53,,4751,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
466,750,174820,BOG0059,1002011,113,A05G131511,1,A05G131511,Y,11,53,,4750,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
467,791,217110,BOG0059,1002011,113,A05G131512,1,A05G131512,Y,11,53,,4749,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
468,792,217111,BOG0059,1002011,113,A05G131513,1,A05G131513,Y,11,53,,4748,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
469,793,217112,BOG0059,1002011,113,A05G131514,1,A05G131514,Y,11,53,,4747,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
470,794,217113,BOG0059,1002011,113,A05G131515,1,A05G131515,Y,11,53,,4746,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
471,751,212362,BOG0059,1000401,113,,100,,Y,246,53,,4745,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
472,777,212390,BOG0059,1000401,113,,20,,Y,246,53,,4744,mario.roman,"2010-08-26 11:01:57",AO79049480,"2010-08-11 09:04:16",NULL,0
3238,15506,15133,BAR0050,1000045,293,KNR/RN152585,1,A05G124654,Y,20,53,,24533,NULL,NULL,LQ11318319,"2010-08-30 10:38:38",NULL,0
3239,15504,14404,BAR0050,1000313,293,KNR/P7136393,1,A05G124652,Y,20,53,,24534,NULL,NULL,LQ11318319,"2010-08-30 10:38:38",NULL,0
3240,15505,14622,BAR0050,1002100,293,KNR/R7149842,1,A05G124653,Y,20,53,,24535,NULL,NULL,LQ11318319,"2010-08-30 10:38:38",NULL,0
3241,16923,123138,BAR0128,1000401,292,,138,,Y,246,53,,24649,NULL,NULL,NULL,NULL,NULL,0
3243,16940,141467,BAR0128,1000401,292,,48,,Y,246,53,,24651,NULL,NULL,NULL,NULL,NULL,0
3244,16822,123104,BAR0066,1000404,291,,18,,Y,246,53,,24765,NULL,NULL,NULL,NULL,NULL,0
3247,16829,153795,BAR0066,1000401,291,,18,,Y,246,53,,24768,NULL,NULL,NULL,NULL,NULL,0
3923,27565,375264,BAR0049,1004435,344,21021127229TA3007771,1,A05T109571,Y,222,62,,29565,NULL,NULL,NULL,NULL,NULL,0
3926,27533,333963,BAR0049,1002011,344,A05G124587,1,A05G124587,Y,11,53,,29568,NULL,NULL,NULL,NULL,NULL,0
3927,27532,333962,BAR0049,1002011,344,A05G124586,1,A05G124586,Y,11,53,,29569,NULL,NULL,NULL,NULL,NULL,0
3928,27517,278038,BAR0049,1002041,344,A10G103428,1,A10G103428,Y,11,5,,29570,NULL,NULL,NULL,NULL,NULL,0
3929,27530,333960,BAR0049,1002011,344,A05G124584,1,A05G124584,Y,11,53,,29571,NULL,NULL,NULL,NULL,NULL,0
3930,27531,333961,BAR0049,1002011,344,A05G124585,1,A05G124585,Y,11,53,,29572,NULL,NULL,NULL,NULL,NULL,0
3931,27516,278037,BAR0049,1002041,344,A10G103427,1,A10G103427,Y,11,5,,29573,NULL,NULL,NULL,NULL,NULL,0
3932,27515,278036,BAR0049,1002041,344,A10G103426,1,A10G103426,Y,11,5,,29574,NULL,NULL,NULL,NULL,NULL,0
3933,27514,278035,BAR0049,1002041,344,A10G103425,1,A10G103425,Y,11,5,,29575,NULL,NULL,NULL,NULL,NULL,0
4051,27645,216000,BAR0101,1000003,365,164054,1,A06G111990,Y,236,7,,30437,NULL,NULL,NULL,NULL,NULL,0
4055,27661,334052,BAR0101,1002011,365,A05G126762,1,A05G126762,Y,11,53,,30441,NULL,NULL,NULL,NULL,NULL,0
4056,27662,334053,BAR0101,1002011,365,A05G126763,1,A05G126763,Y,11,53,,30442,NULL,NULL,NULL,NULL,NULL,0
4057,27663,334054,BAR0101,1002011,365,A05G126764,1,A05G126764,Y,11,53,,30443,NULL,NULL,NULL,NULL,NULL,0
4058,27664,334055,BAR0101,1002011,365,A05G126765,1,A05G126765,Y,11,53,,30444,NULL,NULL,NULL,NULL,NULL,0
4059,27665,334056,BAR0101,1002011,365,A05G126766,1,A05G126766,Y,11,53,,30445,NULL,NULL,NULL,NULL,NULL,0
