id,desktop_inventory_process_result_detail,element_transfer_order,element_transfer_order_detail
29,420895,45952,165061
30,420896,45952,165062
105,448450,47153,169836
130,440865,47222,170173
131,440866,47223,170174
132,440867,47223,170175
133,440868,47224,170176
134,451486,47247,170517
135,451485,47248,170518
163,451774,47345,170988
164,451775,47345,170989
165,451776,47345,170990
179,466000,47677,172313
185,468371,47712,172397
191,467414,47782,172628
192,467415,47782,172629
193,467416,47783,172630
198,472521,47833,172906
199,472522,47833,172907
200,472523,47833,172908
201,472524,47833,172909
202,472525,47833,172910
203,472526,47833,172911
204,472527,47833,172912
205,472528,47833,172913
206,472529,47833,172914
207,472530,47833,172915
208,472531,47833,172916
209,472532,47833,172917
217,448344,47892,173153
259,472424,48122,173962
260,472425,48122,173963
261,472426,48122,173964
262,472427,48122,173965
288,492397,48358,174774
289,492399,48359,174775
290,492398,48360,174776
291,492396,48361,174777
368,519260,49061,177404
369,519250,49062,177405
370,519251,49062,177406
371,519252,49062,177407
372,519253,49062,177408
373,519254,49062,177409
374,519255,49062,177410
375,519256,49062,177411
376,519257,49062,177412
377,519258,49062,177413
378,519259,49062,177414
379,519261,49062,177415
395,527821,49251,178082
396,527817,49252,178083
397,527818,49252,178084
398,527820,49253,178085
399,527822,49253,178086
400,527819,49254,178087
401,527823,49255,178088
402,527824,49255,178089
403,527825,49255,178090
404,527826,49255,178091
405,527827,49256,178092
406,527828,49256,178093
407,527829,49256,178094
408,527830,49256,178095
409,527831,49257,178096
410,527832,49257,178097
411,527833,49257,178098
412,527834,49257,178099
432,518739,49424,178670
433,518742,49425,178671
434,518743,49425,178672
449,511687,49473,178784
450,468027,49478,178789
613,553943,50063,181339
614,553940,50064,181340
615,553941,50064,181341
616,553942,50065,181342
618,555009,50070,181350
732,591663,50651,183910
733,591664,50651,183911
734,591665,50651,183912
735,591666,50651,183913
736,591667,50651,183914
737,591668,50651,183915
738,591669,50651,183916
739,591670,50651,183917
740,591671,50651,183918
741,591672,50651,183919
742,591673,50651,183920
743,591674,50651,183921
744,591675,50651,183922
745,591676,50651,183923
746,591677,50651,183924
747,591678,50651,183925
748,591679,50651,183926
749,591680,50651,183927
750,591681,50651,183928
751,591682,50651,183929
752,591683,50651,183930
753,591684,50651,183931
754,591685,50651,183932
767,605814,50679,183975
768,605815,50680,183976
769,605816,50680,183977
854,639413,50819,184225
855,639414,50820,184226
871,656215,50858,184306
1049,698816,51135,185039
1050,698817,51135,185040
1215,783282,51352,185858
1216,783283,51352,185859
1217,783284,51352,185860
1218,783285,51352,185861
1219,783286,51352,185862
1220,783287,51352,185863
1221,783288,51352,185864
1222,783289,51352,185865
1223,783290,51352,185866
1224,783291,51352,185867
1225,783292,51352,185868
1226,783293,51352,185869
1227,783294,51352,185870
1228,783295,51352,185871
1229,783296,51352,185872
1230,783297,51352,185873
1231,783298,51352,185874
1232,783299,51352,185875
1233,783300,51352,185876
1234,783301,51352,185877
1235,783302,51352,185878
1236,783303,51352,185879
1237,783304,51352,185880
1238,783305,51352,185881
1239,783306,51352,185882
1240,783307,51352,185883
1241,783308,51352,185884
1242,783309,51352,185885
1243,783310,51352,185886
1244,783311,51352,185887
1245,783312,51352,185888
1246,783313,51352,185889
1247,783314,51352,185890
