id,desktop_inventory_process_result_detail,element_transfer_order,element_transfer_order_detail
47,432908,46457,167370
181,466488,47699,172370
970,665472,50991,184495
1169,760553,51273,185627
1171,726520,51275,185629
1172,726521,51275,185630
1173,726522,51275,185631
1191,766351,51306,185693
1346,794942,51411,186115
1347,794946,51411,186116
1658,836184,51704,187417
1659,836185,51704,187418
1764,867656,51835,187841
1846,770451,51913,188132
1908,492901,51984,188289
1909,492903,51984,188290
1910,492904,51984,188291
1911,492906,51984,188292
2079,909926,52074,188539
2080,909928,52074,188540
2081,909929,52074,188541
2082,909931,52074,188542
2124,913922,52114,188635
2125,913923,52114,188636
2126,913924,52114,188637
2127,913925,52114,188638
2173,918394,52146,188777
2174,918410,52146,188778
2175,918411,52146,188779
2176,918412,52146,188780
2177,918413,52146,188781
2178,918407,52147,188782
2179,918408,52147,188783
2180,918409,52147,188784
2181,918399,52148,188785
2262,518070,52188,188868
2263,518069,52189,188869
2339,926931,52244,188986
3065,1042482,52614,190520
3066,1042484,52614,190521
3075,1042495,52614,190530
3076,1042496,52614,190531
3080,1042514,52614,190535
3082,1042516,52614,190537
3083,1042517,52614,190538
3210,1055853,55734,203896
3374,1096851,60427,225542
3375,1096850,60428,225543
3530,1143345,61578,230351
3695,1198588,63317,238007
3950,1249510,65095,245564
3979,1277317,65334,246362
3980,1277318,65334,246363
3981,1277319,65334,246364
4028,1290908,65623,247530
4529,1371475,67885,256532
4603,1274307,68117,257313
4604,1274307,68121,257303
4605,1274307,68128,257306
4606,1274307,68122,257312
4607,1274307,68130,257310
4608,1274307,68123,257307
4609,1274307,68120,257301
4610,1274307,68129,257308
4611,1274307,68114,257305
4612,1274307,68124,257314
4614,1274307,68113,257311
4615,1274307,68116,257302
4616,1274307,68126,257317
4617,1274308,68114,257320
4618,1274308,68123,257322
4619,1274308,68124,257323
4620,1274308,68116,257325
4621,1274308,68126,257326
4622,1274308,68120,257319
4624,1274308,68128,257324
4625,1274308,68117,257321
4626,1274308,68130,257328
4627,1274307,68125,257318
4628,1274308,68121,257329
4629,1274307,68115,257316
4630,1274308,68122,257330
4631,1274308,68129,257332
4632,1274308,68113,257331
4633,1274308,68125,257334
4634,1274308,68115,257335
4635,1274307,68127,257315
4636,1274307,68119,257336
4637,1274307,68118,257309
4638,1274307,68131,257333
4639,1274308,68127,257337
4640,1274308,68119,257338
4641,1274308,68118,257339
4642,1274308,68131,257340
4831,1395966,68724,259937
4832,1395977,68724,259938
5168,1471401,74241,282727
5169,1471402,74241,282728
5170,1471403,74241,282729
5185,1475322,74413,283540
6462,1587376,81759,315500
8489,2245406,113577,449819
8490,2245407,113577,449820
8491,2245408,113577,449821
8492,2245409,113577,449822
8493,2245410,113577,449823
8494,2245411,113577,449824
8495,2245412,113577,449825
9133,2305002,117287,462843
9134,2305001,117288,462844
9891,2496724,120448,476425
10180,2535110,121204,478715
10181,2535111,121204,478716
10182,2535112,121204,478717
10257,2553483,121458,479454
10258,2553484,121458,479455
10259,2553485,121458,479456
10260,2553486,121458,479457
10261,2553487,121458,479458
10334,2560329,121640,480273
10682,2593943,122400,483105
10683,2593944,122400,483106
10684,2593945,122400,483107
10685,2593946,122400,483108
10686,2593947,122400,483109
11843,2559622,126302,497397
11844,2559621,126303,497398
11899,2517457,126400,497607
11900,2517458,126400,497608
11901,2517459,126400,497609
