id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
233189,2210,292127,225922,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, is_asset, element_type_asset, element_category_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = null - Res = C01G106807], [is_asset: Elem = N - Res = Y], [element_type_asset: Elem = 252 - Res = 19], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233191,2210,292126,225921,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, is_asset, element_type_asset, element_category_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = null - Res = C01G106806], [is_asset: Elem = N - Res = Y], [element_type_asset: Elem = 252 - Res = 19], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233193,2210,292125,225920,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, element_category_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C04G101031 - Res = C01G106805], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233195,2210,292124,225919,PENDING,DIFFERENCE,"Element with difference: location, serial, millicom_code, element_category_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [serial: Elem = C01G064321 - Res = C01G106804], [millicom_code: Elem = C04G101036 - Res = C01G106804], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233197,2210,292122,225917,PENDING,DIFFERENCE,"Element with difference: model, location, serial, millicom_code, element_type_asset, element_category_asset","[model: Elem = 1003046 - Res = 1003044], [location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [serial: Elem = C01G064317 - Res = C01G106802], [millicom_code: Elem = C04G101034 - Res = C01G106802], [element_type_asset: Elem = 22 - Res = 100], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233199,2210,292123,225918,PENDING,DIFFERENCE,"Element with difference: location, serial, millicom_code, element_category_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [serial: Elem = C01G064320 - Res = C01G106803], [millicom_code: Elem = C04G101035 - Res = C01G106803], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233201,2210,292121,225916,PENDING,DIFFERENCE,"Element with difference: model, location, serial, millicom_code, element_type_asset, element_category_asset","[model: Elem = 1003046 - Res = 1003044], [location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [serial: Elem = C01G064316 - Res = C01G106801], [millicom_code: Elem = C04G101033 - Res = C01G106801], [element_type_asset: Elem = 22 - Res = 100], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233203,2210,292084,225915,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, element_type_asset, element_category_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C04G101030 - Res = C01G106800], [element_type_asset: Elem = 22 - Res = 101], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233205,2210,292085,225914,PENDING,DIFFERENCE,"Element with difference: location, millicom_code, element_type_asset, element_category_asset","[location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C04G101029 - Res = C01G106799], [element_type_asset: Elem = 22 - Res = 101], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233207,2210,292087,225912,PENDING,DIFFERENCE,"Element with difference: model, location, millicom_code, element_category_asset","[model: Elem = 1003044 - Res = 1002743], [location: Elem = MSCBOG03_DESEMPEÑO - Res = MSCBOG03_DESEMPE?O], [millicom_code: Elem = C04G101032 - Res = C01G106797], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
