id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
1423911,11359,1226741,1191578,OK,OK,NULL,NULL,"Element OK.",90
1423912,11359,1226739,1191579,OK,OK,NULL,NULL,"Element OK.",90
1423913,11359,1226743,1191580,OK,OK,NULL,NULL,"Element OK.",90
1423914,11359,1226740,1191581,OK,OK,NULL,NULL,"Element OK.",90
1423915,11359,1226742,1191582,OK,OK,NULL,NULL,"Element OK.",90
1423916,11359,1226707,1191583,OK,OK,NULL,NULL,"Element OK.",90
1423917,11359,1226702,1191584,OK,OK,NULL,NULL,"Element OK.",90
1423918,11359,1226721,1191585,OK,OK,NULL,NULL,"Element OK.",90
1423919,11359,1226697,1191586,OK,OK,NULL,NULL,"Element OK.",90
1423920,11359,1226713,1191587,OK,OK,NULL,NULL,"Element OK.",90
1423921,11359,1226712,1191588,OK,OK,NULL,NULL,"Element OK.",90
1423922,11359,1226703,1191589,OK,OK,NULL,NULL,"Element OK.",90
1423923,11359,1226704,1191590,OK,OK,NULL,NULL,"Element OK.",90
1423924,11359,1226718,1191591,OK,OK,NULL,NULL,"Element OK.",90
1423925,11359,1226728,1191592,OK,OK,NULL,NULL,"Element OK.",90
1423926,11359,1226716,1191593,OK,OK,NULL,NULL,"Element OK.",90
1423927,11359,1226732,1191594,OK,OK,NULL,NULL,"Element OK.",90
1423928,11359,1226734,1191595,OK,OK,NULL,NULL,"Element OK.",90
1423929,11359,1226715,1191596,OK,OK,NULL,NULL,"Element OK.",90
1423930,11359,1226737,1191597,OK,OK,NULL,NULL,"Element OK.",90
1423931,11359,1226735,1191598,OK,OK,NULL,NULL,"Element OK.",90
1423932,11359,1226733,1191599,OK,OK,NULL,NULL,"Element OK.",90
1423933,11359,1226705,1191600,OK,OK,NULL,NULL,"Element OK.",90
1423934,11359,1226736,1191601,OK,OK,NULL,NULL,"Element OK.",90
1423935,11359,1226717,1191602,OK,OK,NULL,NULL,"Element OK.",90
1423936,11359,1226719,1191606,OK,OK,NULL,NULL,"Element OK.",90
1423937,11359,1226730,1191607,OK,OK,NULL,NULL,"Element OK.",90
1423938,11359,1226725,1191608,OK,OK,NULL,NULL,"Element OK.",90
1423939,11359,1226723,1191609,OK,OK,NULL,NULL,"Element OK.",90
1423940,11359,1226714,1191610,OK,OK,NULL,NULL,"Element OK.",90
1423941,11359,1226729,1191611,OK,OK,NULL,NULL,"Element OK.",90
