id,report,element,quantity
342,2,38979,1
343,2,38980,1
576,2,89547,1
1382,2,4895,1
1383,2,4904,1
1473,2,52664,1
1519,2,65293,1
2748,2,269485,1
3121,2,130014,1
3122,2,130015,1
3123,2,130016,1
3124,2,130017,1
4423,2,10,1
4564,2,51533,1
4567,2,54980,1
4568,2,54985,1
6675,2,70219,1
6677,2,82180,1
6678,2,82506,1
6679,2,82507,1
6680,2,82508,1
6681,2,82509,1
6682,2,94018,1
6683,2,94019,1
6684,2,94020,1
6685,2,94021,1
6686,2,95212,4
6687,2,95213,3
6688,2,95214,3
6689,2,95215,3
6690,2,95216,3
6691,2,98694,1
6692,2,95217,3
6693,2,95218,3
6694,2,95889,1
6695,2,97726,1
6696,2,97727,1
6697,2,97728,1
6698,2,97729,1
6699,2,97730,1
6700,2,97731,1
6701,2,97732,1
6702,2,98691,1
6703,2,98692,1
6704,2,98693,1
6705,2,147225,6
6706,2,147226,1
6827,2,134415,1
6911,2,251202,1
6913,2,251204,1
6914,2,251205,1
6915,2,251206,1
7126,2,74227,1
7128,2,74305,1
7130,2,74607,1
7131,2,74618,1
7132,2,74619,1
7133,2,74620,1
7135,2,74633,1
7136,2,74637,1
7139,2,74642,1
7140,2,74643,1
7141,2,74645,1
7144,2,74674,1
7145,2,74687,1
7146,2,74689,1
7147,2,74697,1
7150,2,74710,1
7152,2,75280,1
7153,2,75441,1
7154,2,75476,1
7155,2,75490,1
7156,2,75521,1
7157,2,75523,1
7158,2,75527,1
7159,2,75529,1
7160,2,75681,1
7161,2,75682,1
7162,2,75704,1
7163,2,75705,1
7164,2,75852,1
7165,2,75853,1
7166,2,75855,1
7167,2,75856,1
7169,2,76144,1
7170,2,76149,1
7171,2,76289,1
7282,2,94037,1
7458,2,135199,1
8056,2,68610,1
8313,2,259849,1
8314,2,259850,1
8316,2,259852,1
8317,2,259853,1
8319,2,259855,1
8320,2,259856,1
8321,2,259857,1
8322,2,259858,1
8323,2,259859,1
8324,2,259860,1
