id,synchronization_id,element,sync_action,location_to,location_from
10,1,10,CREATE,CAR0068,CAR0068
11,1,11,CREATE,CAL0081,CAL0081
12,1,12,CREATE,BAR0113,BAR0113
13,1,13,CREATE,CAR0039,CAR0039
14,1,14,CREATE,CAR0041,CAR0041
44,1,44,CREATE,BAR0079,BAR0079
45,1,45,CREATE,CAR0069,CAR0069
46,1,46,CREATE,BAR0112,BAR0112
47,1,47,CREATE,CAR0073,CAR0073
48,1,48,CREATE,CAR0052,CAR0052
49,1,49,CREATE,MED0099,MED0099
184,1,184,CREATE,BAR0097,BAR0097
188,1,188,CREATE,CAR0077,CAR0077
196,1,196,CREATE,CAR0072,CAR0072
197,1,197,CREATE,BAR0134,BAR0134
205,1,205,CREATE,CAR0042,CAR0042
207,1,207,CREATE,BAR0081,BAR0081
210,1,210,CREATE,CAR0073,CAR0073
212,1,212,CREATE,CAR0069,CAR0069
215,1,215,CREATE,BAR0115,BAR0115
221,1,221,CREATE,BAR0011,BAR0011
231,1,231,CREATE,CAR0041,CAR0041
261,1,261,CREATE,BOL0032,BOL0032
524,1,524,CREATE,ANT1036,ANT1036
538,1,538,CREATE,BOG0367,BOG0367
660,1,660,CREATE,BAR0026,BAR0026
740,1,740,CREATE,TOL0062,TOL0062
836,1,836,CREATE,ATL0032,ATL0032
911,1,911,CREATE,ANT0051,ANT0051
912,1,912,CREATE,ANT0051,ANT0051
1165,1,1165,CREATE,ATL0025,ATL0025
1173,1,1173,CREATE,BAR0127,BAR0127
1181,1,1181,CREATE,BOG0022,BOG0022
1309,1,1309,CREATE,ATL0025,ATL0025
1382,1,1382,CREATE,VAL0014,VAL0014
1399,1,1399,CREATE,CAL0005,CAL0005
1400,1,1400,CREATE,CAL0005,CAL0005
1401,1,1401,CREATE,CAL0005,CAL0005
1402,1,1402,CREATE,CAL0005,CAL0005
1403,1,1403,CREATE,ANT0090,ANT0090
1404,1,1404,CREATE,ANT0090,ANT0090
1405,1,1405,CREATE,ANT0090,ANT0090
1406,1,1406,CREATE,MON0003,MON0003
1407,1,1407,CREATE,MON0003,MON0003
1408,1,1408,CREATE,MON0003,MON0003
1409,1,1409,CREATE,MON0003,MON0003
1410,1,1410,CREATE,ANT0090,ANT0090
1411,1,1411,CREATE,POP0003,POP0003
1412,1,1412,CREATE,POP0003,POP0003
1413,1,1413,CREATE,PER0025,PER0025
1414,1,1414,CREATE,PER0025,PER0025
1415,1,1415,CREATE,PER0025,PER0025
1416,1,1416,CREATE,PER0025,PER0025
1417,1,1417,CREATE,CAL0048,CAL0048
1418,1,1418,CREATE,CAL0048,CAL0048
1419,1,1419,CREATE,POP0003,POP0003
1420,1,1420,CREATE,CAL0048,CAL0048
1421,1,1421,CREATE,POP0003,POP0003
1422,1,1422,CREATE,CAL0048,CAL0048
1430,1,1430,CREATE,CAD0018,CAD0018
1455,1,1455,CREATE,BAR0062,BAR0062
1456,1,1456,CREATE,BAR0053,BAR0053
1457,1,1457,CREATE,BAR0053,BAR0053
1458,1,1458,CREATE,ATL0015,ATL0015
1459,1,1459,CREATE,BAR0064,BAR0064
1460,1,1460,CREATE,BAR0062,BAR0062
1461,1,1461,CREATE,ATL0015,ATL0015
1462,1,1462,CREATE,BAR0064,BAR0064
1480,1,1480,CREATE,SIN0012,SIN0012
1535,1,1535,CREATE,BOG0426,BOG0426
1536,1,1536,CREATE,BOG0426,BOG0426
1537,1,1537,CREATE,BOG0426,BOG0426
1538,1,1538,CREATE,BOG0426,BOG0426
1539,1,1539,CREATE,CUN0086,CUN0086
1540,1,1540,CREATE,CUN0086,CUN0086
1541,1,1541,CREATE,CUN0086,CUN0086
1542,1,1542,CREATE,CUN0086,CUN0086
1563,1,1563,CREATE,CAR0036,CAR0036
1594,1,1594,CREATE,VAL0012,VAL0012
1596,1,1596,CREATE,VAL0006,VAL0006
1603,1,1603,CREATE,COR0005,COR0005
1604,1,1604,CREATE,BAR0077,BAR0077
1605,1,1605,CREATE,COR0005,COR0005
1606,1,1606,CREATE,COR0005,COR0005
1607,1,1607,CREATE,BAR0077,BAR0077
1608,1,1608,CREATE,BAR0077,BAR0077
1609,1,1609,CREATE,SUC0002,SUC0002
1610,1,1610,CREATE,SUC0002,SUC0002
1611,1,1611,CREATE,SUC0002,SUC0002
1612,1,1612,CREATE,SUC0016,SUC0016
1613,1,1613,CREATE,SUC0016,SUC0016
1614,1,1614,CREATE,SUC0016,SUC0016
1615,1,1615,CREATE,BAR0075,BAR0075
1616,1,1616,CREATE,BAR0075,BAR0075
1617,1,1617,CREATE,BAR0075,BAR0075
1618,1,1618,CREATE,CUN0106,CUN0106
1619,1,1619,CREATE,CUN0106,CUN0106
1620,1,1620,CREATE,CUN0106,CUN0106
1621,1,1621,CREATE,CUN0106,CUN0106
1622,1,1622,CREATE,SUC0004,SUC0004
1623,1,1623,CREATE,SUC0004,SUC0004
1624,1,1624,CREATE,BAR0033,BAR0033
1625,1,1625,CREATE,BAR0087,BAR0087
1626,1,1626,CREATE,BAR0087,BAR0087
1627,1,1627,CREATE,BAR0033,BAR0033
1628,1,1628,CREATE,BAR0087,BAR0087
1629,1,1629,CREATE,BAR0033,BAR0033
1630,1,1630,CREATE,SUC0004,SUC0004
1631,1,1631,CREATE,SUC0015,SUC0015
1632,1,1632,CREATE,SUC0015,SUC0015
1633,1,1633,CREATE,SUC0015,SUC0015
1634,1,1634,CREATE,ATL0017,ATL0017
1635,1,1635,CREATE,ATL0017,ATL0017
1636,1,1636,CREATE,COR0012,COR0012
1637,1,1637,CREATE,COR0012,COR0012
1638,1,1638,CREATE,COR0012,COR0012
1639,1,1639,CREATE,BAR0086,BAR0086
1640,1,1640,CREATE,BAR0086,BAR0086
1641,1,1641,CREATE,ANT1009,ANT1009
1642,1,1642,CREATE,BAR0072,BAR0072
1643,1,1643,CREATE,BAR0086,BAR0086
1644,1,1644,CREATE,ANT1009,ANT1009
1645,1,1645,CREATE,ANT1009,ANT1009
1646,1,1646,CREATE,BAR0072,BAR0072
1647,1,1647,CREATE,CUN0123,CUN0123
1648,1,1648,CREATE,CUN0123,CUN0123
1649,1,1649,CREATE,CUN0123,CUN0123
1650,1,1650,CREATE,CAL0093,CAL0093
1651,1,1651,CREATE,CAL0093,CAL0093
1652,1,1652,CREATE,CAL0093,CAL0093
1653,1,1653,CREATE,BAR0089,BAR0089
1654,1,1654,CREATE,BAR0089,BAR0089
1655,1,1655,CREATE,BAR0089,BAR0089
1656,1,1656,CREATE,BOL0016,BOL0016
1657,1,1657,CREATE,BOL0016,BOL0016
1658,1,1658,CREATE,BOL0016,BOL0016
1710,1,1710,CREATE,ATL0019,ATL0019
1711,1,1711,CREATE,ATL0019,ATL0019
1712,1,1712,CREATE,BOL0015,BOL0015
1713,1,1713,CREATE,BOL0015,BOL0015
1714,1,1714,CREATE,BOL0015,BOL0015
1715,1,1715,CREATE,ATL0019,ATL0019
1716,1,1716,CREATE,BOL0015,BOL0015
1717,1,1717,CREATE,ATL0019,ATL0019
1718,1,1718,CREATE,BOL0018,BOL0018
1719,1,1719,CREATE,BOL0018,BOL0018
1720,1,1720,CREATE,BOL0018,BOL0018
1721,1,1721,CREATE,BOL0018,BOL0018
1722,1,1722,CREATE,CAD0018,CAD0018
1723,1,1723,CREATE,CAD0018,CAD0018
1724,1,1724,CREATE,CAD0018,CAD0018
1770,1,1770,CREATE,SMA0017,SMA0017
1774,1,1774,CREATE,SUC0004,SUC0004
1800,1,1800,CREATE,COR0005,COR0005
1806,1,1806,CREATE,SIN0011,SIN0011
1820,1,1820,CREATE,MON0011,MON0011
1873,1,1873,CREATE,BAR0076,BAR0076
1882,1,1882,CREATE,ANT0039,ANT0039
1921,1,1921,CREATE,ANT1001,ANT1001
1923,1,1923,CREATE,ANT0050,ANT0050
1929,1,1929,CREATE,ANT0050,ANT0050
1930,1,1930,CREATE,MET0025,MET0025
1931,1,1931,CREATE,MET0025,MET0025
1932,1,1932,CREATE,MET0025,MET0025
1933,1,1933,CREATE,MET0025,MET0025
1934,1,1934,CREATE,RIS0028,RIS0028
1935,1,1935,CREATE,CAL0099,CAL0099
1936,1,1936,CREATE,CAL0099,CAL0099
1937,1,1937,CREATE,CAL0099,CAL0099
1938,1,1938,CREATE,ANT1001,ANT1001
1939,1,1939,CREATE,ANT0050,ANT0050
1940,1,1940,CREATE,ANT0050,ANT0050
1941,1,1941,CREATE,PER0026,PER0026
1942,1,1942,CREATE,PER0026,PER0026
1943,1,1943,CREATE,PER0026,PER0026
1944,1,1944,CREATE,CAL0102,CAL0102
1945,1,1945,CREATE,CAL0102,CAL0102
1946,1,1946,CREATE,ANT1001,ANT1001
1947,1,1947,CREATE,ANT1001,ANT1001
1948,1,1948,CREATE,CAL0102,CAL0102
1949,1,1949,CREATE,BOL0019,BOL0019
1950,1,1950,CREATE,BOL0019,BOL0019
1951,1,1951,CREATE,BOL0019,BOL0019
2037,1,2037,CREATE,MAG0034,MAG0034
2050,1,2050,CREATE,VAL0010,VAL0010
2063,1,2063,CREATE,MAG0034,MAG0034
2074,1,2074,CREATE,ANT0039,ANT0039
2075,1,2075,CREATE,CES0011,CES0011
2076,1,2076,CREATE,ANT0039,ANT0039
2077,1,2077,CREATE,ANT0039,ANT0039
2078,1,2078,CREATE,ANT0063,ANT0063
2079,1,2079,CREATE,ANT0063,ANT0063
2080,1,2080,CREATE,ANT0063,ANT0063
2081,1,2081,CREATE,CES0011,CES0011
2082,1,2082,CREATE,SUC0014,SUC0014
2083,1,2083,CREATE,CES0011,CES0011
2084,1,2084,CREATE,SUC0014,SUC0014
2085,1,2085,CREATE,BAR0127,BAR0127
2086,1,2086,CREATE,BAR0127,BAR0127
2087,1,2087,CREATE,CAL0109,CAL0109
2088,1,2088,CREATE,SUC0014,SUC0014
2089,1,2089,CREATE,BAR0127,BAR0127
2090,1,2090,CREATE,CAL0109,CAL0109
2091,1,2091,CREATE,CAL0109,CAL0109
2092,1,2092,CREATE,BOG0259,BOG0259
2093,1,2093,CREATE,BOG0259,BOG0259
2094,1,2094,CREATE,BOG0259,BOG0259
2095,1,2095,CREATE,BOG0232,BOG0232
2096,1,2096,CREATE,RIS0028,RIS0028
2097,1,2097,CREATE,RIS0028,RIS0028
2098,1,2098,CREATE,RIS0028,RIS0028
2099,1,2099,CREATE,BOG0232,BOG0232
2100,1,2100,CREATE,BOG0232,BOG0232
2101,1,2101,CREATE,MET0030,MET0030
2102,1,2102,CREATE,MET0030,MET0030
2103,1,2103,CREATE,MET0030,MET0030
2104,1,2104,CREATE,MAG0026,MAG0026
2105,1,2105,CREATE,MAG0026,MAG0026
2106,1,2106,CREATE,CAL0105,CAL0105
2107,1,2107,CREATE,MAG0026,MAG0026
2108,1,2108,CREATE,MAG0027,MAG0027
2109,1,2109,CREATE,CES0029,CES0029
2110,1,2110,CREATE,CAL0105,CAL0105
2111,1,2111,CREATE,CES0029,CES0029
2112,1,2112,CREATE,CES0028,CES0028
2113,1,2113,CREATE,MAG0027,MAG0027
2114,1,2114,CREATE,CAL0105,CAL0105
2115,1,2115,CREATE,MAG0027,MAG0027
2116,1,2116,CREATE,CES0029,CES0029
2117,1,2117,CREATE,CES0028,CES0028
2118,1,2118,CREATE,CES0028,CES0028
2119,1,2119,CREATE,ATL0026,ATL0026
2120,1,2120,CREATE,ATL0026,ATL0026
2121,1,2121,CREATE,ATL0026,ATL0026
2122,1,2122,CREATE,VIL0019,VIL0019
2123,1,2123,CREATE,VIL0019,VIL0019
2124,1,2124,CREATE,VIL0019,VIL0019
2125,1,2125,CREATE,MET0028,MET0028
2126,1,2126,CREATE,MET0028,MET0028
2127,1,2127,CREATE,MET0028,MET0028
2140,1,2140,CREATE,SUC0019,SUC0019
2141,1,2141,CREATE,BOL0038,BOL0038
2142,1,2142,CREATE,BOL0038,BOL0038
2143,1,2143,CREATE,BAR0091,BAR0091
2144,1,2144,CREATE,BOL0038,BOL0038
2145,1,2145,CREATE,BAR0091,BAR0091
2146,1,2146,CREATE,BAR0091,BAR0091
2147,1,2147,CREATE,BAR0096,BAR0096
2148,1,2148,CREATE,BAR0096,BAR0096
2149,1,2149,CREATE,BAR0096,BAR0096
2150,1,2150,CREATE,RIS0040,RIS0040
2151,1,2151,CREATE,CUN0172,CUN0172
2152,1,2152,CREATE,RIS0040,RIS0040
2153,1,2153,CREATE,RIS0040,RIS0040
2154,1,2154,CREATE,CUN0172,CUN0172
2155,1,2155,CREATE,CUN0172,CUN0172
2255,1,2255,CREATE,ANT1093,ANT1093
2273,1,2273,CREATE,BAR0085,BAR0085
2274,1,2274,CREATE,BAR0085,BAR0085
2275,1,2275,CREATE,BAR0085,BAR0085
2320,1,2320,CREATE,ANT1047,ANT1047
2333,1,2333,CREATE,ANT1051,ANT1051
2334,1,2334,CREATE,ANT1050,ANT1050
2351,1,2351,CREATE,BOL0034,BOL0034
2411,1,2411,CREATE,MAG0033,MAG0033
2412,1,2412,CREATE,MAG0033,MAG0033
2415,1,2415,CREATE,MAG0033,MAG0033
2432,1,2432,CREATE,ANT1077,ANT1077
2495,1,2495,CREATE,BOL0032,BOL0032
2667,1,2667,CREATE,ATL0025,ATL0025
2668,1,2668,CREATE,MET0023,MET0023
2669,1,2669,CREATE,ANT1093,ANT1093
2670,1,2670,CREATE,ATL0029,ATL0029
2671,1,2671,CREATE,MAG0036,MAG0036
2672,1,2672,CREATE,MAG0036,MAG0036
2673,1,2673,CREATE,CAR0026,CAR0026
2674,1,2674,CREATE,CAR0026,CAR0026
2675,1,2675,CREATE,CAR0026,CAR0026
2676,1,2676,CREATE,MAG0038,MAG0038
2677,1,2677,CREATE,MAG0036,MAG0036
2678,1,2678,CREATE,CES0031,CES0031
2679,1,2679,CREATE,CES0031,CES0031
2680,1,2680,CREATE,CUN0187,CUN0187
2681,1,2681,CREATE,VIL0024,VIL0024
2682,1,2682,CREATE,BOL0046,BOL0046
2683,1,2683,CREATE,BOL0041,BOL0041
2684,1,2684,CREATE,MON0016,MON0016
2685,1,2685,CREATE,VIL0022,VIL0022
2686,1,2686,CREATE,BOL0041,BOL0041
2687,1,2687,CREATE,VIL0022,VIL0022
2688,1,2688,CREATE,BOL0041,BOL0041
2689,1,2689,CREATE,VIL0022,VIL0022
2690,1,2690,CREATE,BOL0046,BOL0046
2691,1,2691,CREATE,BOL0046,BOL0046
2692,1,2692,CREATE,MON0016,MON0016
2693,1,2693,CREATE,VIL0024,VIL0024
2694,1,2694,CREATE,MON0016,MON0016
